DATA,APERTURA,MASSIMO,MINIMO,CHIUSURA,VAR % CLOSE,VOLUME
03/11/11,"5.835,35","6.193,35","5.832,05","6.133,20","0,00",237532530
04/11/11,"6.175,45","6.175,45","5.928,90","5.966,15","-2,72",198963380
07/11/11,"5.905,95","6.028,60","5.835,10","5.928,70","-0,63",158207005
08/11/11,"5.950,45","6.087,05","5.934,25","5.961,45","0,55",144445882
09/11/11,"6.045,85","6.055,60","5.767,25","5.829,55","-2,21",251013745
10/11/11,"5.732,30","5.934,30","5.721,95","5.867,80","0,66",201635360
11/11/11,"5.881,50","6.065,30","5.855,10","6.057,05","3,22",144524850
14/11/11,"6.097,25","6.116,05","5.934,10","5.985,00","-1,19",133941558
15/11/11,"5.920,45","6.011,45","5.815,85","5.933,15","-0,87",140685193
16/11/11,"5.873,30","6.028,25","5.852,05","5.913,35","-0,33",139962366
17/11/11,"5.875,85","5.921,25","5.778,10","5.850,15","-1,07",180841993
18/11/11,"5.800,80","5.898,00","5.769,70","5.800,25","-0,85",153519217
21/11/11,"5.767,10","5.771,70","5.598,05","5.606,00","-3,35",182778313
22/11/11,"5.648,50","5.681,75","5.537,40","5.537,40","-1,22",245728890
23/11/11,"5.485,65","5.588,10","5.457,75","5.457,75","-1,44",236213586
24/11/11,"5.512,75","5.563,80","5.399,85","5.428,10","-0,54",157729166
25/11/11,"5.433,30","5.528,65","5.366,50","5.492,85","1,19",135413146
28/11/11,"5.577,20","5.754,50","5.573,00","5.745,35","4,60",172618513
29/11/11,"5.725,70","5.826,35","5.690,55","5.799,90","0,95",143661820
30/11/11,"5.741,20","6.130,70","5.726,00","6.088,85","4,98",244420002
01/12/11,"6.080,50","6.111,95","6.017,40","6.035,90","-0,87",153039996
02/12/11,"6.117,75","6.169,65","6.055,50","6.080,70","0,74",205318692
05/12/11,"6.137,85","6.170,05","6.086,40","6.106,10","0,42",201034246
06/12/11,"6.021,75","6.094,75","6.005,80","6.028,80","-1,27",156070163
07/12/11,"6.116,25","6.137,05","5.919,55","5.994,75","-0,57",143842516
08/12/11,"6.054,55","6.077,15","5.868,65","5.874,45","-2,01",183750573
09/12/11,"5.806,50","6.007,05","5.802,35","5.986,70","1,91",190767742
12/12/11,"5.945,20","5.952,55","5.785,45","5.785,45","-3,36",153575073
13/12/11,"5.801,40","5.852,45","5.734,10","5.774,25","-0,19",191200424
14/12/11,"5.739,00","5.771,60","5.675,15","5.675,15","-1,72",202903658
15/12/11,"5.713,50","5.795,85","5.682,15","5.730,60","0,98",183781170
16/12/11,"5.764,45","5.775,00","5.693,40","5.701,80","-0,50",301486743
19/12/11,"5.651,75","5.775,25","5.644,20","5.670,70","-0,54",102011962
20/12/11,"5.652,60","5.847,70","5.637,55","5.847,05","3,11",129734850
21/12/11,"5.918,70","5.965,35","5.771,60","5.791,55","-0,95",145367731
22/12/11,"5.830,15","5.886,20","5.820,45","5.852,20","1,05",88638711
23/12/11,"5.905,20","5.913,40","5.844,65","5.878,95","0,46",54220083
27/12/11,"5.900,70","5.924,40","5.878,00","5.889,75","0,18",35248960
28/12/11,"5.875,85","5.901,35","5.771,25","5.771,25","-2,01",72297247
29/12/11,"5.804,15","5.848,80","5.775,80","5.848,80","1,34",59708751
30/12/11,"5.867,05","5.898,35","5.817,70","5.898,35","0,85",42363118
02/01/12,"5.900,20","6.075,50","5.900,20","6.075,50","3,00",90828403
03/01/12,"6.124,10","6.179,05","6.108,60","6.166,55","1,50",116709157
04/01/12,"6.141,25","6.163,50","6.088,05","6.111,55","-0,89",100870834
05/01/12,"6.121,35","6.130,10","6.040,95","6.096,00","-0,25",141738422
06/01/12,"6.114,65","6.152,55","6.012,65","6.057,90","-0,62",109973742
09/01/12,"6.061,25","6.076,60","5.987,75","6.017,25","-0,67",110946062
10/01/12,"6.090,85","6.191,30","6.069,35","6.163,00","2,42",171413034
11/01/12,"6.148,45","6.181,60","6.106,05","6.152,35","-0,17",166799370
12/01/12,"6.160,10","6.256,95","6.148,85","6.179,20","0,44",205749533
13/01/12,"6.242,50","6.245,40","6.063,65","6.143,10","-0,58",213909601
16/01/12,"6.120,40","6.232,20","6.104,10","6.220,00","1,25",108072262
17/01/12,"6.301,90","6.343,05","6.270,95","6.332,95","1,82",167118815
18/01/12,"6.330,45","6.399,45","6.280,50","6.354,55","0,34",184490485
19/01/12,"6.377,25","6.420,35","6.333,70","6.416,25","0,97",335554588
20/01/12,"6.410,75","6.431,25","6.371,70","6.404,40","-0,18",272361922
23/01/12,"6.387,35","6.467,35","6.349,70","6.436,60","0,50",270707714
24/01/12,"6.372,50","6.420,05","6.339,00","6.419,20","-0,27",246102196
25/01/12,"6.448,85","6.456,55","6.366,65","6.421,85","0,04",170090500
26/01/12,"6.453,60","6.559,05","6.430,35","6.539,85","1,84",197223670
27/01/12,"6.507,75","6.574,20","6.484,35","6.512,00","-0,43",150009321
30/01/12,"6.454,55","6.491,50","6.414,35","6.444,45","-1,04",140511798
31/01/12,"6.489,05","6.533,20","6.450,10","6.458,90","0,22",158039800
01/02/12,"6.482,95","6.630,50","6.482,55","6.616,65","2,44",210399186
02/02/12,"6.640,05","6.668,00","6.606,35","6.655,65","0,59",156001224
03/02/12,"6.649,55","6.767,45","6.635,65","6.766,65","1,67",194732414
06/02/12,"6.752,05","6.781,45","6.714,80","6.764,85","-0,03",123043005
07/02/12,"6.772,75","6.788,75","6.682,90","6.754,20","-0,16",143194644
08/02/12,"6.800,70","6.829,90","6.735,65","6.748,75","-0,08",220435719
09/02/12,"6.782,15","6.838,15","6.746,10","6.788,80","0,59",242278488
10/02/12,"6.730,55","6.751,10","6.649,55","6.692,95","-1,41",228643131
13/02/12,"6.748,70","6.774,60","6.709,65","6.738,45","0,68",140972165
14/02/12,"6.712,70","6.788,55","6.698,30","6.728,20","-0,15",148101853
15/02/12,"6.807,55","6.830,10","6.736,55","6.757,95","0,44",163430291
16/02/12,"6.665,25","6.751,95","6.651,70","6.751,95","-0,09",166240839
17/02/12,"6.811,00","6.874,55","6.794,90","6.848,05","1,42",168885040
20/02/12,"6.892,05","6.956,65","6.878,55","6.948,25","1,46",131240474
21/02/12,"6.936,90","6.971,05","6.873,55","6.908,20","-0,58",139943982
22/02/12,"6.914,70","6.915,20","6.821,80","6.843,85","-0,93",129082721
23/02/12,"6.838,95","6.903,50","6.733,60","6.809,45","-0,50",261556273
24/02/12,"6.871,25","6.890,90","6.826,35","6.864,45","0,81",155819587
27/02/12,"6.817,45","6.868,60","6.743,65","6.849,60","-0,22",168648219
28/02/12,"6.867,25","6.900,50","6.809,20","6.887,65","0,56",149732482
29/02/12,"6.914,65","6.967,15","6.843,25","6.856,10","-0,46",195540530
01/03/12,"6.831,95","6.949,45","6.817,75","6.941,75","1,25",187153660
02/03/12,"6.944,45","6.954,90","6.904,10","6.921,35","-0,29",197181163
05/03/12,"6.876,90","6.902,60","6.815,45","6.866,45","-0,79",169816448
06/03/12,"6.835,95","6.840,35","6.633,10","6.633,10","-3,40",216447530
07/03/12,"6.638,50","6.682,70","6.612,60","6.671,10","0,57",181610957
08/03/12,"6.723,35","6.838,40","6.703,90","6.834,55","2,45",206866958
09/03/12,"6.848,50","6.912,40","6.830,65","6.880,20","0,67",154677166
12/03/12,"6.868,95","6.911,25","6.846,90","6.901,35","0,31",126636557
13/03/12,"6.957,25","7.020,05","6.941,95","6.995,90","1,37",149276976
14/03/12,"7.028,90","7.099,35","7.028,15","7.079,40","1,19",212921114
15/03/12,"7.093,95","7.153,10","7.072,25","7.144,45","0,92",149750289
16/03/12,"7.145,80","7.194,35","7.142,75","7.157,80","0,19",359056872
19/03/12,"7.143,95","7.154,85","7.095,15","7.154,20","-0,05",144660226
20/03/12,"7.121,90","7.124,65","7.032,05","7.054,95","-1,39",151228321
21/03/12,"7.088,75","7.114,00","7.012,05","7.071,30","0,23",134457384
22/03/12,"7.053,40","7.071,10","6.938,20","6.981,25","-1,27",165779479
23/03/12,"6.986,90","7.026,90","6.908,95","6.995,60","0,21",133079038
26/03/12,"7.022,65","7.102,05","6.969,95","7.079,25","1,20",121408810
27/03/12,"7.106,75","7.153,70","7.075,15","7.078,90","0,00",143181233
28/03/12,"7.056,05","7.110,55","6.998,80","6.998,80","-1,13",133051499
29/03/12,"6.980,10","6.993,75","6.841,95","6.875,15","-1,77",168699664
30/03/12,"6.924,80","6.959,70","6.898,90","6.946,85","1,04",131062733
02/04/12,"6.974,00","7.057,20","6.911,65","7.056,65","1,58",137223664
03/04/12,"7.053,90","7.081,05","6.981,20","6.982,30","-1,05",130860413
04/04/12,"6.940,60","6.944,40","6.772,95","6.784,05","-2,84",192787646
05/04/12,"6.817,85","6.831,35","6.685,80","6.775,25","-0,13",197220429
10/04/12,"6.694,70","6.737,90","6.606,45","6.606,45","-2,49",178357582
11/04/12,"6.628,65","6.722,50","6.603,05","6.674,75","1,03",163586861
12/04/12,"6.710,35","6.761,80","6.651,80","6.743,25","1,03",194638135
13/04/12,"6.732,05","6.743,00","6.552,30","6.583,90","-2,36",187253310
16/04/12,"6.556,30","6.675,40","6.548,40","6.625,20","0,63",169859622
17/04/12,"6.625,70","6.801,15","6.616,95","6.801,00","2,65",170319175
18/04/12,"6.780,50","6.812,85","6.718,10","6.732,05","-1,01",138944684
19/04/12,"6.775,45","6.807,10","6.665,30","6.671,20","-0,90",196543635
20/04/12,"6.689,70","6.760,25","6.651,80","6.750,10","1,18",165783449
23/04/12,"6.666,80","6.668,10","6.499,05","6.523,00","-3,36",197032843
24/04/12,"6.566,10","6.604,55","6.508,10","6.590,40","1,03",170335735
25/04/12,"6.622,95","6.733,35","6.622,90","6.704,50","1,73",177312068
26/04/12,"6.702,60","6.750,65","6.642,05","6.739,90","0,53",166762898
27/04/12,"6.662,30","6.825,40","6.652,50","6.801,30","0,91",160819445
30/04/12,"6.844,10","6.846,65","6.759,90","6.761,20","-0,59",113632751
02/05/12,"6.861,30","6.875,85","6.664,55","6.710,75","-0,75",159609577
03/05/12,"6.749,25","6.791,75","6.648,50","6.694,45","-0,24",182210381
04/05/12,"6.682,95","6.684,90","6.546,00","6.561,45","-1,99",162528175
07/05/12,"6.515,95","6.578,95","6.410,05","6.569,50","0,12",136812523
08/05/12,"6.548,75","6.576,70","6.415,05","6.444,75","-1,90",137198388
09/05/12,"6.483,25","6.506,20","6.375,80","6.475,30","0,47",188657752
10/05/12,"6.531,15","6.549,75","6.440,25","6.518,00","0,66",185051674
11/05/12,"6.465,20","6.589,00","6.454,20","6.579,95","0,95",133524675
14/05/12,"6.499,80","6.520,85","6.404,30","6.451,95","-1,94",128710247
15/05/12,"6.501,95","6.509,65","6.353,25","6.401,05","-0,79",190599420
16/05/12,"6.344,90","6.442,95","6.297,40","6.384,25","-0,26",182175618
17/05/12,"6.401,15","6.413,05","6.291,10","6.308,95","-1,18",113187412
18/05/12,"6.254,80","6.335,55","6.229,30","6.271,20","-0,60",194380760
