"DATA","APERTURA","MASSIMO","MINIMO","CHIUSURA","VAR % CLOSE","VOLUME"
"03/11/11","14.904,32","15.983,70","14.884,74","15.766,16","0,00","1295687802"
"04/11/11","15.890,08","16.014,36","15.210,73","15.346,55","-2,66","1028623546"
"07/11/11","15.187,85","15.822,69","14.937,09","15.548,94","1,32","1073642958"
"08/11/11","15.600,96","16.023,41","15.564,02","15.664,06","0,74","897599022"
"09/11/11","15.893,98","15.894,36","14.864,57","15.071,77","-3,78","1230908521"
"10/11/11","14.867,41","15.595,49","14.867,41","15.218,34","0,97","1110726876"
"11/11/11","15.292,19","15.850,51","15.287,61","15.778,85","3,68","1033391929"
"14/11/11","16.017,53","16.137,98","15.381,04","15.464,45","-1,99","1061929957"
"15/11/11","15.281,45","15.570,24","14.998,06","15.297,60","-1,08","1034832142"
"16/11/11","15.240,26","15.738,84","15.140,26","15.419,20","0,79","1080836720"
"17/11/11","15.328,84","15.470,36","15.113,11","15.198,31","-1,43","765090764"
"18/11/11","15.061,19","15.458,06","15.042,90","15.232,56","0,23","777138668"
"21/11/11","15.065,37","15.099,79","14.499,26","14.509,94","-4,74","750039553"
"22/11/11","14.636,10","14.718,65","14.253,38","14.286,06","-1,54","708852842"
"23/11/11","14.122,67","14.428,33","13.915,78","13.915,78","-2,59","779221515"
"24/11/11","14.036,36","14.243,95","13.736,12","13.920,58","0,03","753540894"
"25/11/11","13.922,85","14.044,65","13.609,71","13.937,40","0,12","727694595"
"28/11/11","14.128,43","14.614,19","14.069,43","14.578,23","4,60","814803887"
"29/11/11","14.557,67","14.752,47","14.384,06","14.627,37","0,34","739346577"
"30/11/11","14.462,56","15.304,72","14.445,39","15.268,66","4,38","1209707272"
"01/12/11","15.276,04","15.447,78","15.133,60","15.244,62","-0,16","844846491"
"02/12/11","15.425,67","15.720,90","15.376,84","15.476,09","1,52","945049827"
"05/12/11","15.769,59","15.977,59","15.680,98","15.926,47","2,91","986797332"
"06/12/11","15.783,46","16.061,26","15.746,59","15.848,21","-0,49","788490343"
"07/12/11","16.070,72","16.154,96","15.416,51","15.650,93","-1,24","959017007"
"08/12/11","15.737,89","15.790,58","14.906,95","14.979,07","-4,29","841199358"
"09/12/11","14.878,32","15.494,64","14.854,30","15.483,91","3,37","918043009"
"12/12/11","15.393,86","15.478,10","14.896,73","14.896,73","-3,79","711195217"
"13/12/11","14.936,89","15.143,53","14.749,58","14.851,25","-0,31","690628494"
"14/12/11","14.800,74","14.958,48","14.430,02","14.430,02","-2,84","778062179"
"15/12/11","14.509,68","14.732,23","14.439,63","14.627,69","1,37","807321810"
"16/12/11","14.674,97","14.809,98","14.491,39","14.572,22","-0,38","1334948927"
"19/12/11","14.467,99","14.834,41","14.446,85","14.548,20","-0,16","664514811"
"20/12/11","14.562,22","14.977,44","14.503,52","14.965,18","2,87","690040077"
"21/12/11","15.100,96","15.295,51","14.737,36","14.819,86","-0,97","1015623980"
"22/12/11","14.957,43","15.087,14","14.942,93","15.027,44","1,40","563539254"
"23/12/11","15.166,89","15.188,06","15.031,62","15.073,99","0,31","460170440"
"27/12/11","15.138,57","15.151,70","14.865,22","14.924,01","-0,99","220495062"
"28/12/11","14.934,26","15.125,01","14.791,21","14.796,55","-0,85","332459520"
"29/12/11","14.868,69","14.938,04","14.745,01","14.908,53","0,76","274024235"
"30/12/11","15.028,91","15.089,74","14.930,18","15.089,74","1,22","210856902"
"02/01/12","15.095,64","15.456,40","15.092,30","15.454,62","2,42","269254004"
"03/01/12","15.534,44","15.675,25","15.465,15","15.645,56","1,24","486166580"
"04/01/12","15.611,06","15.632,30","15.287,50","15.327,03","-2,04","466037555"
"05/01/12","15.345,63","15.377,98","14.715,36","14.767,22","-3,65","682933068"
"06/01/12","14.801,78","15.024,11","14.566,61","14.645,64","-0,82","621978525"
"09/01/12","14.702,07","14.742,97","14.370,97","14.401,55","-1,67","629663471"
"10/01/12","14.541,64","14.905,05","14.521,51","14.844,81","3,08","780310543"
"11/01/12","14.830,82","15.010,60","14.745,65","14.882,44","0,25","673318613"
"12/01/12","14.950,29","15.401,12","14.937,32","15.192,79","2,09","945230441"
"13/01/12","15.381,00","15.429,28","14.825,54","15.011,09","-1,20","819062689"
"16/01/12","14.889,62","15.247,28","14.814,38","15.220,98","1,40","617584800"
"17/01/12","15.407,78","15.505,51","15.212,97","15.325,98","0,69","741225799"
"18/01/12","15.327,77","15.476,41","15.132,44","15.278,00","-0,31","699920066"
"19/01/12","15.353,43","15.654,32","15.244,08","15.651,99","2,45","1280622393"
"20/01/12","15.636,83","15.758,59","15.529,60","15.632,06","-0,13","1240582847"
"23/01/12","15.632,56","15.957,43","15.594,59","15.907,52","1,76","1226079972"
"24/01/12","15.827,09","15.929,25","15.683,46","15.929,25","0,14","1042695992"
"25/01/12","16.020,40","16.078,66","15.708,89","15.840,24","-0,56","1059353005"
"26/01/12","15.947,08","16.192,83","15.850,97","16.111,04","1,71","1194989928"
"27/01/12","16.037,63","16.183,96","15.911,50","15.946,87","-1,02","860330937"
"30/01/12","15.836,86","15.963,55","15.624,58","15.753,14","-1,21","761865949"
"31/01/12","15.938,79","16.059,55","15.827,30","15.828,05","0,48","936910263"
