DATA,APERTURA,MASSIMO,MINIMO,CHIUSURA,VAR % CLOSE,VOLUME
03/11/11,"1.238,25","1.263,21","1.234,81","1.261,15","0,00",0
04/11/11,"1.260,82","1.260,82","1.238,92","1.253,23","-0,63",0
07/11/11,"1.253,21","1.261,70","1.240,75","1.261,12","0,63",0
08/11/11,"1.261,12","1.277,55","1.254,99","1.275,92","1,17",0
09/11/11,"1.275,18","1.275,18","1.226,64","1.229,10","-3,67",0
10/11/11,"1.229,59","1.246,22","1.227,70","1.239,69","0,86",0
11/11/11,"1.240,12","1.266,98","1.240,12","1.263,85","1,95",0
14/11/11,"1.263,85","1.263,85","1.246,68","1.251,78","-0,96",0
15/11/11,"1.251,70","1.264,25","1.244,34","1.257,81","0,48",0
16/11/11,"1.257,81","1.259,61","1.235,67","1.236,91","-1,66",0
17/11/11,"1.236,56","1.237,73","1.209,43","1.216,13","-1,68",0
18/11/11,"1.216,19","1.223,51","1.211,36","1.215,65","-0,04",0
21/11/11,"1.215,62","1.215,62","1.183,16","1.192,98","-1,86",0
22/11/11,"1.192,98","1.196,81","1.181,65","1.188,04","-0,41",0
23/11/11,"1.187,48","1.187,48","1.161,79","1.161,79","-2,21",0
25/11/11,"1.161,41","1.172,66","1.158,66","1.158,67","-0,27",0
28/11/11,"1.158,67","1.197,35","1.158,67","1.192,55","2,92",0
29/11/11,"1.192,56","1.203,67","1.191,80","1.195,19","0,22",0
30/11/11,"1.196,72","1.247,11","1.196,72","1.246,96","4,33",0
01/12/11,"1.246,91","1.251,09","1.239,73","1.244,58","-0,19",0
02/12/11,"1.246,03","1.260,08","1.243,35","1.244,28","-0,02",0
05/12/11,"1.244,33","1.266,73","1.244,33","1.257,08","1,03",0
06/12/11,"1.257,19","1.266,03","1.253,03","1.258,47","0,11",0
07/12/11,"1.258,14","1.267,06","1.244,80","1.261,01","0,20",0
08/12/11,"1.260,87","1.260,87","1.231,47","1.234,35","-2,11",0
09/12/11,"1.234,48","1.258,25","1.234,48","1.255,19","1,69",0
12/12/11,"1.255,05","1.255,05","1.227,25","1.236,47","-1,49",0
13/12/11,"1.236,83","1.249,86","1.219,43","1.225,73","-0,87",0
14/12/11,"1.225,73","1.225,73","1.209,47","1.211,82","-1,13",0
15/12/11,"1.212,12","1.225,60","1.212,12","1.215,75","0,32",0
16/12/11,"1.216,09","1.231,04","1.215,20","1.219,66","0,32",0
19/12/11,"1.219,74","1.224,57","1.202,37","1.205,35","-1,17",0
20/12/11,"1.205,72","1.242,82","1.205,72","1.241,30","2,98",0
21/12/11,"1.241,25","1.245,09","1.229,51","1.243,72","0,19",0
22/12/11,"1.243,72","1.255,22","1.243,72","1.254,00","0,83",0
23/12/11,"1.254,00","1.265,42","1.254,00","1.265,33","0,90",0
27/12/11,"1.265,02","1.269,37","1.262,30","1.265,43","0,01",0
28/12/11,"1.265,38","1.265,85","1.248,64","1.249,64","-1,25",0
29/12/11,"1.249,75","1.263,54","1.249,75","1.263,02","1,07",0
30/12/11,"1.262,82","1.264,12","1.257,46","1.257,60","-0,43",0
03/01/12,"1.258,86","1.284,62","1.258,86","1.277,06","1,55",0
04/01/12,"1.277,03","1.278,73","1.268,10","1.277,30","0,02",0
05/01/12,"1.277,30","1.283,05","1.265,26","1.281,06","0,29",0
06/01/12,"1.280,93","1.281,84","1.273,34","1.277,81","-0,25",0
09/01/12,"1.277,83","1.281,99","1.274,55","1.280,70","0,23",0
10/01/12,"1.280,77","1.296,46","1.280,77","1.292,08","0,89",0
11/01/12,"1.292,02","1.293,80","1.285,41","1.292,48","0,03",0
12/01/12,"1.292,48","1.296,82","1.285,77","1.295,50","0,23",0
13/01/12,"1.294,82","1.294,82","1.277,58","1.289,09","-0,49",0
17/01/12,"1.290,22","1.303,00","1.290,22","1.293,67","0,36",0
18/01/12,"1.293,65","1.308,11","1.290,99","1.308,04","1,11",0
19/01/12,"1.308,07","1.315,49","1.308,07","1.314,50","0,49",0
20/01/12,"1.314,49","1.315,38","1.309,17","1.315,38","0,07",0
23/01/12,"1.315,29","1.322,28","1.309,89","1.316,00","0,05",0
24/01/12,"1.315,96","1.315,96","1.306,06","1.314,65","-0,10",0
25/01/12,"1.314,40","1.328,30","1.307,65","1.326,05","0,87",0
26/01/12,"1.326,28","1.333,47","1.313,60","1.318,43","-0,57",0
27/01/12,"1.318,25","1.320,06","1.311,72","1.316,33","-0,16",0
30/01/12,"1.316,16","1.316,16","1.300,49","1.313,01","-0,25",0
31/01/12,"1.313,53","1.321,41","1.306,69","1.312,41","-0,05",0
01/02/12,"1.312,45","1.330,52","1.312,45","1.324,09","0,89",0
02/02/12,"1.324,24","1.329,19","1.321,57","1.325,54","0,11",0
03/02/12,"1.326,21","1.345,34","1.326,21","1.344,90","1,46",0
06/02/12,"1.344,32","1.344,36","1.337,52","1.344,33","-0,04",0
07/02/12,"1.344,33","1.349,24","1.335,92","1.347,05","0,20",0
08/02/12,"1.347,04","1.351,00","1.341,95","1.349,96","0,22",0
09/02/12,"1.349,97","1.354,32","1.344,63","1.351,95","0,15",0
10/02/12,"1.351,21","1.351,21","1.337,35","1.342,64","-0,69",0
13/02/12,"1.343,06","1.353,35","1.343,06","1.351,77","0,68",0
14/02/12,"1.351,30","1.351,30","1.340,83","1.350,50","-0,09",0
15/02/12,"1.350,52","1.355,87","1.340,80","1.343,23","-0,54",0
16/02/12,"1.342,61","1.359,02","1.341,22","1.358,04","1,10",0
17/02/12,"1.358,06","1.363,40","1.357,24","1.361,23","0,23",0
21/02/12,"1.361,22","1.367,76","1.358,11","1.362,21","0,07",0
22/02/12,"1.362,11","1.362,70","1.355,53","1.357,66","-0,33",0
23/02/12,"1.357,53","1.364,24","1.352,28","1.363,46","0,43",0
24/02/12,"1.363,46","1.368,92","1.363,46","1.365,74","0,17",0
27/02/12,"1.365,20","1.371,94","1.354,92","1.367,59","0,14",0
28/02/12,"1.367,56","1.373,09","1.365,97","1.372,18","0,34",0
29/02/12,"1.372,20","1.378,04","1.363,81","1.365,68","-0,47",0
01/03/12,"1.365,90","1.376,17","1.365,90","1.374,09","0,62",0
02/03/12,"1.374,09","1.374,53","1.366,42","1.369,63","-0,32",0
05/03/12,"1.369,59","1.369,59","1.359,13","1.364,33","-0,39",0
06/03/12,"1.363,63","1.363,63","1.340,03","1.343,36","-1,54",0
07/03/12,"1.343,39","1.354,85","1.343,39","1.352,63","0,69",0
08/03/12,"1.352,65","1.368,72","1.352,65","1.365,91","0,98",0
09/03/12,"1.365,97","1.374,76","1.365,97","1.370,87","0,36",0
12/03/12,"1.370,78","1.373,04","1.366,69","1.371,09","0,02",0
13/03/12,"1.371,92","1.396,13","1.371,92","1.395,95","1,81",0
14/03/12,"1.395,95","1.399,42","1.389,97","1.394,28","-0,12",0
15/03/12,"1.394,17","1.402,63","1.392,78","1.402,60","0,60",0
16/03/12,"1.402,55","1.405,88","1.401,47","1.404,17","0,11",0
19/03/12,"1.404,17","1.414,00","1.402,43","1.409,75","0,40",0
20/03/12,"1.409,59","1.409,59","1.397,68","1.405,52","-0,30",0
21/03/12,"1.405,52","1.407,75","1.400,64","1.402,89","-0,19",0
22/03/12,"1.402,89","1.402,89","1.388,73","1.392,78","-0,72",0
23/03/12,"1.392,78","1.399,18","1.386,87","1.397,11","0,31",0
26/03/12,"1.397,11","1.416,58","1.397,11","1.416,51","1,39",0
27/03/12,"1.416,55","1.419,15","1.411,95","1.412,52","-0,28",0
28/03/12,"1.412,52","1.413,65","1.397,20","1.405,54","-0,49",0
29/03/12,"1.405,39","1.405,39","1.391,56","1.403,28","-0,16",0
30/03/12,"1.403,31","1.410,89","1.401,42","1.408,47","0,37",0
02/04/12,"1.408,47","1.422,38","1.404,46","1.419,04","0,75",0
03/04/12,"1.418,98","1.419,00","1.404,62","1.413,38","-0,40",0
04/04/12,"1.413,09","1.413,09","1.394,09","1.398,96","-1,02",0
05/04/12,"1.398,79","1.401,60","1.392,92","1.398,08","-0,06",0
09/04/12,"1.397,45","1.397,45","1.378,24","1.382,20","-1,14",0
10/04/12,"1.382,18","1.383,01","1.357,38","1.358,59","-1,71",0
11/04/12,"1.358,98","1.374,71","1.358,98","1.368,71","0,74",0
12/04/12,"1.368,77","1.388,13","1.368,77","1.387,57","1,38",0
13/04/12,"1.387,61","1.387,61","1.369,85","1.370,26","-1,25",0
16/04/12,"1.370,27","1.379,66","1.365,38","1.369,57","-0,05",0
17/04/12,"1.369,57","1.392,76","1.369,57","1.390,78","1,55",0
18/04/12,"1.390,78","1.390,78","1.383,29","1.385,14","-0,41",0
19/04/12,"1.385,08","1.390,46","1.370,30","1.376,92","-0,59",0
20/04/12,"1.376,96","1.387,40","1.376,96","1.378,53","0,12",0
23/04/12,"1.378,53","1.378,53","1.358,79","1.366,94","-0,84",0
24/04/12,"1.366,97","1.375,57","1.366,82","1.371,97","0,37",0
25/04/12,"1.372,11","1.391,37","1.372,11","1.390,69","1,36",0
26/04/12,"1.390,64","1.402,09","1.387,28","1.399,98","0,67",0
27/04/12,"1.400,19","1.406,64","1.397,31","1.403,36","0,24",0
30/04/12,"1.403,26","1.403,26","1.394,00","1.397,91","-0,39",0
01/05/12,"1.397,86","1.415,32","1.395,73","1.405,82","0,57",0
02/05/12,"1.405,50","1.405,50","1.393,92","1.402,31","-0,25",0
03/05/12,"1.402,32","1.403,07","1.388,71","1.391,57","-0,77",0
04/05/12,"1.391,51","1.391,51","1.367,96","1.369,10","-1,61",0
07/05/12,"1.368,79","1.373,91","1.363,94","1.369,58","0,04",0
08/05/12,"1.369,16","1.369,16","1.347,75","1.363,72","-0,43",0
09/05/12,"1.363,20","1.363,73","1.343,13","1.354,58","-0,67",0
10/05/12,"1.354,58","1.365,88","1.354,58","1.357,99","0,25",0
11/05/12,"1.358,11","1.365,66","1.348,89","1.353,39","-0,34",0
14/05/12,"1.351,93","1.351,93","1.336,61","1.338,35","-1,11",0
15/05/12,"1.338,36","1.344,94","1.328,41","1.330,66","-0,57",0
16/05/12,"1.330,78","1.341,78","1.324,79","1.324,80","-0,44",0
17/05/12,"1.324,82","1.326,36","1.304,86","1.304,86","-1,51",0
18/05/12,"1.305,05","1.312,24","1.291,98","1.295,22","-0,74",0
21/05/12,"1.295,73","1.316,39","1.295,73","1.315,99","1,60",0
22/05/12,"1.316,09","1.328,49","1.310,04","1.316,63","0,05",0
23/05/12,"1.316,02","1.320,71","1.296,53","1.318,86","0,17",0
24/05/12,"1.318,72","1.324,14","1.310,50","1.320,68","0,14",0
25/05/12,"1.320,81","1.324,20","1.314,23","1.317,82","-0,22",0
29/05/12,"1.318,90","1.334,93","1.318,90","1.332,42","1,11",0
30/05/12,"1.331,25","1.331,25","1.310,76","1.313,32","-1,43",0
31/05/12,"1.313,09","1.319,74","1.298,90","1.310,33","-0,23",0
01/06/12,"1.309,87","1.309,87","1.277,25","1.278,04","-2,46",0
04/06/12,"1.278,29","1.282,55","1.266,74","1.278,18","0,01",0
05/06/12,"1.277,82","1.287,62","1.274,16","1.285,50","0,57",0
06/06/12,"1.285,61","1.315,13","1.285,61","1.315,13","2,30",0
07/06/12,"1.316,15","1.329,05","1.312,68","1.314,99","-0,01",0
08/06/12,"1.314,99","1.325,81","1.307,77","1.325,66","0,81",0
11/06/12,"1.325,72","1.335,52","1.307,73","1.308,93","-1,26",0
12/06/12,"1.309,40","1.324,31","1.306,62","1.324,18","1,17",0
13/06/12,"1.324,02","1.327,28","1.310,51","1.314,88","-0,70",0
14/06/12,"1.314,88","1.333,68","1.314,14","1.329,10","1,08",0
15/06/12,"1.329,19","1.343,32","1.329,19","1.342,84","1,03",0
18/06/12,"1.342,42","1.348,22","1.334,46","1.344,78","0,14",0
19/06/12,"1.344,83","1.363,46","1.344,83","1.357,98","0,98",0
20/06/12,"1.358,04","1.361,57","1.346,45","1.355,69","-0,17",0
21/06/12,"1.355,43","1.358,27","1.324,41","1.325,51","-2,23",0
22/06/12,"1.325,92","1.337,82","1.325,92","1.335,02","0,72",0
25/06/12,"1.334,90","1.334,90","1.309,27","1.313,72","-1,60",0
26/06/12,"1.314,09","1.324,24","1.310,30","1.319,99","0,48",0
27/06/12,"1.320,71","1.334,40","1.320,71","1.331,85","0,90",0
28/06/12,"1.331,52","1.331,52","1.313,29","1.329,04","-0,21",0
29/06/12,"1.330,12","1.362,17","1.330,12","1.362,16","2,49",0
02/07/12,"1.362,33","1.366,35","1.355,70","1.365,51","0,25",0
03/07/12,"1.365,75","1.374,81","1.363,53","1.374,02","0,62",0
05/07/12,"1.373,72","1.373,85","1.363,02","1.367,58","-0,47",0
06/07/12,"1.367,09","1.367,09","1.348,03","1.354,68","-0,94",0
09/07/12,"1.354,66","1.354,87","1.346,65","1.352,46","-0,16",0
10/07/12,"1.352,96","1.361,54","1.336,27","1.341,47","-0,81",0
11/07/12,"1.341,40","1.345,00","1.333,25","1.341,45","0,00",0
12/07/12,"1.341,29","1.341,29","1.325,41","1.334,76","-0,50",0
13/07/12,"1.334,81","1.357,70","1.334,81","1.356,78","1,65",0
16/07/12,"1.356,50","1.357,26","1.348,51","1.353,64","-0,23",0
17/07/12,"1.353,68","1.365,36","1.345,07","1.363,67","0,74",0
18/07/12,"1.363,58","1.375,26","1.358,96","1.372,78","0,67",0
19/07/12,"1.373,01","1.380,39","1.371,21","1.376,51","0,27",0
20/07/12,"1.376,51","1.376,51","1.362,19","1.362,66","-1,01",0
23/07/12,"1.362,34","1.362,34","1.337,56","1.350,52","-0,89",0
24/07/12,"1.350,52","1.351,53","1.329,24","1.338,31","-0,90",0
25/07/12,"1.338,35","1.343,98","1.331,50","1.337,89","-0,03",0
26/07/12,"1.338,17","1.363,13","1.338,17","1.360,02","1,65",0
27/07/12,"1.360,05","1.389,19","1.360,05","1.385,97","1,91",0
30/07/12,"1.385,94","1.391,74","1.381,37","1.385,30","-0,05",0
31/07/12,"1.385,27","1.387,16","1.379,17","1.379,32","-0,43",0
01/08/12,"1.379,32","1.385,03","1.373,35","1.375,14","-0,30",0
02/08/12,"1.375,13","1.375,13","1.354,65","1.365,00","-0,74",0
03/08/12,"1.365,45","1.394,16","1.365,45","1.390,99","1,90",0
06/08/12,"1.391,04","1.399,63","1.391,04","1.394,23","0,23",0
07/08/12,"1.394,46","1.407,14","1.394,46","1.401,35","0,51",0
08/08/12,"1.401,23","1.404,14","1.396,13","1.402,22","0,06",0
09/08/12,"1.402,26","1.405,95","1.398,80","1.402,80","0,04",0
10/08/12,"1.402,58","1.405,98","1.395,62","1.405,87","0,22",0
13/08/12,"1.405,87","1.405,87","1.397,32","1.404,11","-0,13",0
14/08/12,"1.404,36","1.410,03","1.400,60","1.403,93","-0,01",0
15/08/12,"1.403,89","1.407,73","1.401,83","1.405,53","0,11",0
16/08/12,"1.406,61","1.417,44","1.404,15","1.415,51","0,71",0
17/08/12,"1.415,84","1.418,71","1.414,67","1.418,16","0,19",0
20/08/12,"1.417,85","1.418,13","1.412,12","1.418,13","0,00",0
21/08/12,"1.418,13","1.426,68","1.410,86","1.413,17","-0,35",0
22/08/12,"1.413,09","1.416,12","1.406,78","1.413,49","0,02",0
23/08/12,"1.413,49","1.413,49","1.400,50","1.402,08","-0,81",0
24/08/12,"1.401,99","1.413,46","1.398,04","1.411,13","0,65",0
27/08/12,"1.411,13","1.416,17","1.409,11","1.410,44","-0,05",0
28/08/12,"1.410,44","1.413,63","1.405,59","1.409,30","-0,08",0
29/08/12,"1.409,32","1.413,95","1.406,57","1.410,49","0,08",0
30/08/12,"1.410,08","1.410,08","1.397,01","1.399,48","-0,78",0
31/08/12,"1.400,07","1.413,09","1.398,96","1.406,58","0,51",0
04/09/12,"1.406,54","1.409,31","1.396,56","1.404,94","-0,12",0
05/09/12,"1.404,94","1.408,81","1.401,25","1.403,44","-0,11",0
06/09/12,"1.403,44","1.432,12","1.403,44","1.432,12","2,04",0
07/09/12,"1.432,12","1.437,92","1.431,45","1.437,92","0,40",0
10/09/12,"1.437,92","1.438,74","1.428,98","1.429,08","-0,61",0
11/09/12,"1.429,13","1.437,76","1.429,13","1.433,56","0,31",0
12/09/12,"1.433,56","1.439,15","1.432,99","1.436,56","0,21",0
13/09/12,"1.436,56","1.463,76","1.435,34","1.459,99","1,63",0
14/09/12,"1.460,07","1.474,51","1.460,07","1.465,77","0,40",0
17/09/12,"1.465,42","1.465,63","1.457,55","1.461,19","-0,31",0
18/09/12,"1.461,19","1.461,47","1.456,13","1.459,32","-0,13",0
19/09/12,"1.459,50","1.465,15","1.457,88","1.461,05","0,12",0
20/09/12,"1.461,05","1.461,23","1.449,98","1.460,26","-0,05",0
21/09/12,"1.460,34","1.467,07","1.459,51","1.460,15","-0,01",0
24/09/12,"1.459,76","1.460,72","1.452,06","1.456,89","-0,22",0
25/09/12,"1.456,94","1.463,24","1.441,59","1.441,59","-1,05",0
26/09/12,"1.441,60","1.441,60","1.430,53","1.433,32","-0,57",0
27/09/12,"1.433,36","1.450,20","1.433,36","1.447,15","0,96",0
28/09/12,"1.447,13","1.447,13","1.435,60","1.440,67","-0,45",0
01/10/12,"1.440,90","1.457,14","1.440,90","1.444,49","0,27",0
02/10/12,"1.444,99","1.451,52","1.439,01","1.445,75","0,09",0
03/10/12,"1.446,05","1.454,30","1.441,99","1.450,99","0,36",0
04/10/12,"1.451,08","1.463,14","1.451,08","1.461,40","0,72",0
05/10/12,"1.461,40","1.470,96","1.456,89","1.460,93","-0,03",0
08/10/12,"1.460,93","1.460,93","1.453,10","1.455,88","-0,35",0
09/10/12,"1.455,90","1.455,90","1.441,18","1.441,48","-0,99",0
10/10/12,"1.441,48","1.442,52","1.430,64","1.432,56","-0,62",0
11/10/12,"1.432,82","1.443,90","1.432,82","1.432,84","0,02",0
12/10/12,"1.432,84","1.438,43","1.425,53","1.428,59","-0,30",0
15/10/12,"1.428,75","1.441,31","1.427,24","1.440,13","0,81",0
16/10/12,"1.440,31","1.455,51","1.440,31","1.454,92","1,03",0
17/10/12,"1.454,22","1.462,20","1.453,35","1.460,91","0,41",0
18/10/12,"1.460,94","1.464,02","1.452,63","1.457,34","-0,24",0
19/10/12,"1.457,34","1.457,34","1.429,85","1.433,19","-1,66",0
22/10/12,"1.433,21","1.435,46","1.422,06","1.433,82","0,04",0
23/10/12,"1.433,74","1.433,74","1.407,56","1.413,11","-1,44",0
24/10/12,"1.413,20","1.420,04","1.407,10","1.408,75","-0,31",0
25/10/12,"1.409,74","1.421,12","1.405,14","1.412,97","0,30",0
26/10/12,"1.412,97","1.417,09","1.403,28","1.411,94","-0,07",0
31/10/12,"1.410,99","1.418,76","1.405,95","1.412,16","0,02",0
01/11/12,"1.412,20","1.428,35","1.412,20","1.427,59","1,09",0
02/11/12,"1.427,59","1.434,27","1.412,91","1.414,20","-0,94",0
05/11/12,"1.414,02","1.419,90","1.408,13","1.417,26","0,22",0
06/11/12,"1.417,26","1.433,38","1.417,26","1.428,39","0,79",0
07/11/12,"1.428,27","1.428,27","1.388,14","1.394,53","-2,37",0
08/11/12,"1.394,53","1.401,23","1.377,51","1.377,51","-1,22",0
09/11/12,"1.377,55","1.391,39","1.373,03","1.379,85","0,17",0
12/11/12,"1.379,86","1.384,87","1.377,19","1.380,03","0,01",0
13/11/12,"1.380,03","1.388,81","1.371,39","1.374,53","-0,40",0
14/11/12,"1.374,64","1.380,13","1.352,50","1.355,49","-1,39",0
15/11/12,"1.355,41","1.360,62","1.348,05","1.353,33","-0,16",0
16/11/12,"1.353,36","1.362,03","1.343,35","1.359,88","0,48",0
19/11/12,"1.359,88","1.386,89","1.359,88","1.386,89","1,99",0
20/11/12,"1.386,82","1.389,77","1.377,04","1.387,81","0,07",0
21/11/12,"1.387,79","1.391,25","1.386,39","1.391,03","0,23",0
23/11/12,"1.391,03","1.409,16","1.391,03","1.409,15","1,30",0
26/11/12,"1.409,15","1.409,15","1.397,68","1.406,29","-0,20",0
27/11/12,"1.406,29","1.409,01","1.398,03","1.398,94","-0,52",0
28/11/12,"1.398,77","1.410,31","1.385,43","1.409,93","0,79",0
29/11/12,"1.409,96","1.419,70","1.409,04","1.415,95","0,43",0
30/11/12,"1.415,95","1.418,86","1.411,63","1.416,18","0,02",0
03/12/12,"1.416,34","1.423,73","1.408,46","1.409,46","-0,47",0
04/12/12,"1.409,46","1.413,14","1.403,65","1.407,05","-0,17",0
05/12/12,"1.407,05","1.415,56","1.398,23","1.409,28","0,16",0
06/12/12,"1.409,43","1.413,95","1.405,93","1.413,94","0,33",0
07/12/12,"1.413,95","1.420,34","1.410,90","1.418,07","0,29",0
10/12/12,"1.418,07","1.421,64","1.415,64","1.418,55","0,03",0
11/12/12,"1.418,55","1.434,27","1.418,55","1.427,84","0,65",0
12/12/12,"1.427,84","1.438,59","1.426,76","1.428,48","0,04",0
13/12/12,"1.428,48","1.431,36","1.416,00","1.419,45","-0,63",0
14/12/12,"1.419,45","1.419,45","1.411,88","1.413,58","-0,41",0
17/12/12,"1.413,54","1.430,67","1.413,54","1.430,36","1,19",0
18/12/12,"1.430,47","1.448,00","1.430,47","1.446,79","1,15",0
19/12/12,"1.446,79","1.447,75","1.435,80","1.435,81","-0,76",0
20/12/12,"1.435,81","1.443,70","1.432,82","1.443,69","0,55",0
21/12/12,"1.443,67","1.443,67","1.422,58","1.430,15","-0,94",0
24/12/12,"1.430,15","1.430,15","1.424,66","1.426,66","-0,24",0
26/12/12,"1.426,66","1.429,42","1.416,43","1.419,83","-0,48",0
27/12/12,"1.419,83","1.422,80","1.401,80","1.418,10","-0,12",0
28/12/12,"1.418,10","1.418,10","1.401,58","1.402,43","-1,10",0
31/12/12,"1.402,43","1.426,74","1.398,11","1.426,19","1,69",0
02/01/13,"1.426,19","1.462,43","1.426,19","1.462,42","2,54",0
03/01/13,"1.462,42","1.465,47","1.455,53","1.459,37","-0,21",0
04/01/13,"1.459,37","1.467,94","1.458,99","1.466,47","0,49",0
07/01/13,"1.466,47","1.466,47","1.456,62","1.461,89","-0,31",0
08/01/13,"1.461,89","1.461,89","1.451,64","1.457,15","-0,32",0
09/01/13,"1.457,15","1.464,73","1.457,15","1.461,02","0,27",0
10/01/13,"1.464,64","1.472,30","1.461,02","1.472,12","0,76",0
11/01/13,"1.472,12","1.472,75","1.467,58","1.472,05","0,00",0
14/01/13,"1.472,05","1.472,05","1.465,69","1.470,68","-0,09",0
15/01/13,"1.470,67","1.473,31","1.463,76","1.472,34","0,11",0
16/01/13,"1.472,33","1.473,96","1.467,60","1.472,63","0,02",0
17/01/13,"1.472,63","1.485,16","1.472,63","1.480,94","0,56",0
18/01/13,"1.480,95","1.485,98","1.475,81","1.485,98","0,34",0
22/01/13,"1.485,98","1.492,56","1.481,16","1.492,56","0,44",0
23/01/13,"1.492,56","1.496,13","1.489,90","1.494,81","0,15",0
24/01/13,"1.494,81","1.502,27","1.489,46","1.494,82","0,00",0
25/01/13,"1.494,82","1.503,26","1.494,82","1.502,96","0,54",0
28/01/13,"1.502,96","1.503,23","1.496,33","1.500,18","-0,18",0
29/01/13,"1.500,18","1.509,35","1.498,09","1.507,84","0,51",0
30/01/13,"1.507,84","1.509,94","1.500,11","1.501,96","-0,39",0
31/01/13,"1.501,96","1.504,19","1.496,76","1.498,11","-0,26",0
01/02/13,"1.498,11","1.514,41","1.498,11","1.513,17","1,01",0
04/02/13,"1.513,17","1.513,17","1.495,02","1.495,71","-1,15",0
05/02/13,"1.495,71","1.514,96","1.495,71","1.511,29","1,04",0
